,Occupation,Age,Location,Income,lat,long
teaching-assistant-vermont-salary-money-diary,Teaching Assistant,22,Vermont,0,44.5990718,-72.5002608
promotions-coordinator-chicago-suburbs-il-salary-money-diary,Promotions Coordinator,27,"Chicago Suburbs, IL",42000,-33.71745,18.9963167
field-organizer-denver-colorado-salary-money-diary,Field Organizer,21,"Denver, Colorado",28000,39.7392364,-104.9848623
registered-nurse-wisconsin-salary-money-diary,Registered Nurse,21,Wisconsin,52000,44.4308975,-89.6884637
accountant-santa-cruz-salary-money-diary,Accountant,32,"Santa Cruz County, CA",82000,37.050096,-121.9905908
dental-assistant-saudi-arabia-salary-money-diary,Dental Assistant,27,Saudi Arabia,22400,25.6242618,42.3528328
host-san-francisco-ca-salary-money-diary,Host,25,San Francisco,0,37.7790262,-122.4199061
server-columbus-oh-salary-money-diary,Server,26,"Columbus, OH",31000,39.9622601,-83.0007065
product-manager-silicon-valley-ca-salary-money-diary,"Currently unemployed, but will be a Product Manager in two weeks!",29,"Silicon Valley, CA",145000,37.4429964,-122.1545229
communications-manager-los-angeles-ca-salary-money-diary,Communications Manager,27,"Los Angeles, CA",71000,34.0536909,-118.242766
publicist-brooklyn-ny-salary-money-diary,Publicist,33,"Brooklyn, NY",60000,40.6501038,-73.9495823
physician-midwestern-city-salary-money-diary,Physician,37,Midwest,300000,43.411391,-106.280075
senior-account-executive-central-maine-salary-money-diary,Senior Account Executive,29,Central Maine,67000,45.709097,-68.8590201
it-analyst-tampa-fl-salary-money-diary,IT Analyst,22,"Tampa, FL",80000,27.9477595,-82.458444
producer-los-angeles-ca-salary-money-diary,Producer,34,"Los Angeles, CA",94900,34.0536909,-118.242766
database-developer-east-kansas-salary-money-diary,Database Developer,42,East Kansas,149300,43.0578554,-73.1184392
project-manager-prince-georges-county-salary-money-diary,Project Manager,43,"Prince George's County, MD",121000,38.803929,-76.8518695
cheesemonger-los-angeles-ca-salary-money-diary,Cheesemonger,32,"Los Angeles, CA",0,34.0536909,-118.242766
communications-director-berkeley-ca-salary-money-diary,Communications Director,52,"Berkeley, CA",105000,37.8708393,-122.2728639
assistant-professor-new-orleans-la-salary-money-diary,Assistant Professor,37,"New Orleans, LA",70000,29.9499323,-90.0701156
director-external-relations-chicago-il-salary-money-diary,Director of External Relations,33,"Chicago, IL",80000,41.8755616,-87.6244212
advertising-product-manager-portland-or-salary-money-diary,Product Manager,29,"Portland, OR",77250,45.5202471,-122.6741949
marketing-coordinator-cannabis-los-angeles-ca-salary-money-diary,Marketing Coordinator,33,"Los Angeles, CA",42000,34.0536909,-118.242766
communications-manager-forest-hills-ny-salary-money-diary,Communications Manager,30,"Forest Hills, NY",88000,40.7195942,-73.8448553
career-nanny-ulster-county-ny-salary-money-diary,"Career Nanny, transitioning into freelance writing",32,"Ulster County, NY",86000,41.8689317,-74.2618518
pr-manager-new-york-ny-salary-money-diary,PR Manager,26,"New York, NY",90000,40.7127281,-74.0060152
retail-freelance-publicist-louisiana-salary-money-diary,Scanning Coordinator/Freelance Publicist,24,Louisiana,20000,30.8703881,-92.007126
sales-representative-new-york-ny-salary-money-diary,Sales Representative,24,"New York, NY",50000,40.7127281,-74.0060152
media-buyer-cleveland-oh-salary-money-diary,Media Buyer,26,"Cleveland, OH",37000,41.5051613,-81.6934446
clinical-researcher-seattle-wa-salary-money-diary,Clinical Research Coordinator,28,"Seattle, WA",73000,47.6038321,-122.3300624
student-new-your-ny-salary-money-diary,International Student,22,"New York, NY",1600,40.7127281,-74.0060152
biotech-analyst-san-mateo-ca-salary-money-diary,Analyst,31,"San Mateo, CA",187000,37.496904,-122.3330573
case-manager-portland-or-salary-money-diary,Case Manager,32,"Portland, OR",60000,45.5202471,-122.6741949
unemployed-new-york-ny-money-diary,Unemployed,27,NYC,70000,40.7127281,-74.0060152
associate-manager-singapore-salary-money-diary,Associate Manager,32,Singapore,145500,1.357107,103.8194992
childcare-worker-texas-salary-money-diary,Childcare Worker,25,Texas,31000,31.8160381,-99.5120986
photojournalist-western-south-carolina-salary-money-diary,Photojournalist,26,Western South Carolina,34000,10.7968332,122.3518608
teacher-northern-canada-salary-money-diary,Elementary School Teacher,34,Northern Canada,43400,49.1819007,-57.3343755
analyst-new-york-ny-salary-money-diary,Analyst,23,"New York, NY",62000,40.7127281,-74.0060152
engineer-san-francisco-ca-salary-money-diary,Engineer,25,"San Francisco, CA",214000,37.7790262,-122.4199061
social-worker-las-vegas-nv-salary-money-diary,Social Worker,29,"Las Vegas, NV",97000,36.1672559,-115.1485163
attorney-boston-ma-salary-money-diary,Attorney,28,"Boston, MA",190000,42.3602534,-71.0582912
school-leadership-tennessee-salary-money-diary,School Leadership,30,Tennessee,70000,35.7730076,-86.2820081
furloughed-retail-employee-new-york-ny-salary-money-diary,Furloughed due to COVID-19,21,"New York, NY",52000,40.7127281,-74.0060152
analyst-washington-dc-salary-money-diary,Analyst,24,"Washington, DC",72000,38.8949924,-77.0365581
project-manager-copenhagen-denmark-salary-money-diary,Project Manager,26,"Copenhagen, Denmark",70000,55.6867243,12.5700724
teacher-tri-cities-wa-salary-money-diary,Teacher,25,"Tri-Cities, WA",55400,46.2306739,-119.0921006
design-engineer-san-jose-ca-salary-money-diary,Design Engineer,25,"San Jose, CA",135000,37.3361905,-121.890583
project-manager-athens-ga-salary-money-diary,Project Manager,31,"Athens, GA",60000,32.2105899,-95.8801625
registered-nurse-new-york-ny-salary-money-diary,Registered Nurse,26,NYC,105000,40.7127281,-74.0060152
general-counsel-chicago-il-salary-money-diary,Associate General Counsel,36,"Chicago, IL",230961,41.8755616,-87.6244212
registered-nurse-bay-area-ca-salary-money-diary,Registered Nurse,31,"Bay Area, CA",95000,37.7884969,-122.3558473
medical-biller-tampa-fl-salary-money-diary,Medical Biller and Coder/Consultant/Administrator,35,"Tampa, FL",40000,27.9477595,-82.458444
teacher-vermont-salary-money-diary,Teacher,29,Vermont,78600,44.5990718,-72.5002608
assistant-director-queens-ny-salary-money-diary,Assistant Director,27,"Queens, NY",58500,40.7498243,-73.7976337
digital-ad-strategist-baltimore-md-salary-money-diary,Digital Ad Strategist,25,"Baltimore, MD",45500,39.2908816,-76.610759
senior-account-executive-charleston-sc-salary-money-diary,Senior Account Executive,23,"Charleston, SC",50000,32.7876012,-79.9402728
program-coordinator-denver-co-salary-money-diary,Program Coordinator and Part-time Food Delivery Driver,24,"Denver, CO",41000,5.3428475,-72.3959849
social-media-specialist-chicago-il-salary-money-diary,Social Media Specialist,30,"Chicago Suburbs, IL",43000,-33.71745,18.9963167
program-specialist-washington-dc-salary-money-diary,Senior Program Specialist,25,"Washington, DC",100000,38.8949924,-77.0365581
data-consultant-columbia-sc-salary-money-diary,Senior Data Consultant,33,"Columbia, SC",100000,34.0007493,-81.0343313
consultant-chicago-salary-money-diary-2,Consultant,24,"Chicago, IL",105000,41.8755616,-87.6244212
neuro-tech-denver-co-salary-money-diary,Neuropsychology Technician,27,"Denver, CO",38483,5.3428475,-72.3959849
designer-brooklyn-ny-salary-money-diary,Designer,23,"Brooklyn, NY",75000,40.6501038,-73.9495823
director-of-events-montana-salary-money-diary,Director of Events,25,Montana,5000,47.3752671,-109.638757
marketing-coordinator-phoenix-az-salary-money-diary,Marketing Coordinator,20,"Phoenix, AZ",50000,33.4484367,-112.0741417
lawyer-washington-dc-salary-money-diary,Associate,27,"Washington, D.C.",220000,36.29885175,-82.35919331410948
social-worker-portland-or-salary-money-diary,Social Worker,23,"Portland, OR",60000,45.5202471,-122.6741949
communications-manager-baltimore-md-salary-money-diary,Communications Manager,29,"Baltimore, MD",50000,39.2908816,-76.610759
senior-tech-consultant-chicago-il-salary-money-diary,Senior Consultant,25,"Chicago, IL",80000,41.8755616,-87.6244212
lawyer-new-york-ny-salary-money-diary,Lawyer,34,New York,89000,40.7127281,-74.0060152
financial-analyst-cincinnati-oh-salary-money-diary,Financial Analyst,29,"Cincinnati, OH",85000,39.1014537,-84.5124602
events-coordinator-boston-suburbs-salary-money-diary,Events Coordinator,28,"Boston Suburbs, MA",67000,-33.8913889,18.6194444
news-producer-portland-or-salary-money-diary,Producer,28,"Portland, OR",50000,45.5202471,-122.6741949
unemployed-minneapolis-mn-salary-money-diary,Unemployed (laid off Catering Event Manager),30,"Minneapolis, MN",33500,44.9772995,-93.2654692
training-manager-queens-ny-salary-money-diary,Training Manager,31,"Queens, NY",64600,40.7498243,-73.7976337
claims-representative-dallas-tx-salary-money-diary,Claims Representative,22,"Dallas, TX",42000,32.7762719,-96.7968559
social-media-coordinator-portland-or-salary-money-diary,Social Media Coordinator,25,"Portland, Oregon",51450,45.5202471,-122.6741949
analyst-los-angeles-ca-salary-money-diary,Analyst,28,"Los Angeles, CA",80000,34.0536909,-118.242766
tech-consultant-kansas-city-ks-salary-money-diary,Tech Consultant,25,"Kansas City, KS",90000,39.1134562,-94.626497
aba-therapist-new-milford-ct-salary-money-diary,"Applied Behavior Analysis (ABA) Therapist, Nanny, Psych Grad Student, Occasional Dog Walker",24,"New Milford, CT",31000,42.1798043,-89.05669931594156
resident-physician-long-island-ny-salary-money-diary,Resident Physician,27,"Long Island, NY",69000,40.85149705,-73.0994258107431
consultant-maui-hi-salary-money-diary,Consultant,30,"Maui, HI",44100,20.802956799999997,-156.31068331602177
teacher-san-carlos-ca-salary-money-diary,Teacher,28,"San Carlos, CA",66000,37.504936,-122.2618236
tech-consultant-shanghai-china-salary-money-diary,Consultant,27,"Shanghai, China",40000,31.2322758,121.4692071
marketing-assistant-los-angeles-ca-salary-money-diary,Marketing Assistant,25,"Los Angeles, CA",57500,34.0536909,-118.242766
marketing-coordinator-chicago-il-salary-money-diary,Marketing Coordinator,27,Chicago,42000,41.8755616,-87.6244212
data-scientist-new-york-ny-money-diary,Data Scientist,25,"New York, NY",143000,40.7127281,-74.0060152
preschool-teacher-prince-george-county-md-salary-money-diary,Preschool Teacher,27,"Prince George's County, MD",42000,38.803929,-76.8518695
assistant-director-los-angeles-ca-salary-money-diary,Assistant Director,32,"Los Angeles, CA",70000,34.0536909,-118.242766
account-executive-san-francisco-ca-salary-money-diary,Account Executive,23,"San Francisco, CA",60000,37.7790262,-122.4199061
clinical-analyst-bethesda-md-salary-money-diary,Analyst,31,"Bethesda, MD",110000,38.9819845,-77.12423413116392
horse-rancher-montana-salary-money-diary,Horse Rancher,25,Montana,28000,47.3752671,-109.638757
production-assistant-new-york-ny-salary-money-diary,Freelance Production Assistant,25,"New York, NY",35000,40.7127281,-74.0060152
unpaid-researcher-los-angeles-ca-salary-money-diary,Unpaid Researcher,23,"Los Angeles, CA",1000,34.0536909,-118.242766
behavioral-health-coordinator-illinois-salary-money-diary,Behavioral Health Coordinator,22,Northern Illinois,0,41.8137876,-88.0662396
automotive-buyer-detroit-mi-salary-money-diary,Buyer,28,"Metro Detroit, MI",69657,42.361890700000004,-83.01659865296202
wellness-editor-brooklyn-ny-salary-money-diary,Wellness Editor,24,"Brooklyn, NY",46000,40.6501038,-73.9495823
veterinarian-philadelphia-pa-salary-money-diary,Veterinarian,28,"Philadelphia, PA",76500,39.9527237,-75.1635262
therapist-denver-co-salary-money-diary,Therapist,29,"Denver, CO",43000,5.3428475,-72.3959849
product-manager-portland-or-salary-money-diary,Product Manager,31,"Portland, OR",89700,45.5202471,-122.6741949
marketing-director-milwaukee-wi-salary-money-diary,Marketing Director,30,"Milwaukee, WI",115000,43.0349931,-87.922497
paralegal-bergen-county-nj-salary-money-diary,Paralegal,25,"Bergen County, NJ",0,40.9678345,-74.0563254
investment-banker-new-york-ny-salary-money-diary,Investment Banking Associate,24,"New York, NY",150000,40.7127281,-74.0060152
communications-director-los-angeles-ca-salary-money-diary,Communications Director,30,Los Angeles,76000,34.0536909,-118.242766
online-school-teacher-pittsburgh-pa-salary-money-diary,Online School Teacher,30,"Pittsburgh, PA",51292,40.4416941,-79.9900861
account-executive-morris-county-nj-salary-money-diary,Account Executive,26,"Morris County, NJ",50000,40.8679538,-74.5601181
analyst-denver-co-salary-money-diary,Analyst,25,"Denver, CO",70000,5.3428475,-72.3959849
university-student-new-york-ny-tuition-salary-money-diary,Student/Technical Assistant,20,"New York, NY",15600,40.7127281,-74.0060152
graphic-designer-los-angeles-ca-salary-money-diary,Graphic Designer,24,"Los Angeles, CA",36000,34.0536909,-118.242766
communications-manager-salt-lake-city-ut-salary-money-diary,Corporate Communications Manager,26,"Salt Lake City, UT",85000,40.7596198,-111.8867975
office-clerk-baltimore-md-salary-money-diary,Office Clerk (I also work part-time at a grocery store),25,Baltimore,28000,39.2908816,-76.610759
speech-pathologist-new-orleans-la-salary-money-diary,Speech Language Pathologist,27,"New Orleans, LA",65000,29.9499323,-90.0701156
digital-media-associate-minneapolis-mn-salary-money-diary,"Senior Associate, Digital Media",25,"Minneapolis, MN",54000,44.9772995,-93.2654692
law-student-new-york-ny-salary-money-diary,"Law Student, Intern, Cam Girl",27,"New York, NY",29000,40.7127281,-74.0060152
buyer-centennial-co-salary-money-diary,Buyer,37,"Centennial, CO",78000,39.602187,-104.79078572071992
technical-writer-seattle-wa-salary-money-diary,Technical Writer,30,"Seattle, WA",90700,47.6038321,-122.3300624
business-analyst-cape-town-south-africa-salary-money-diary,Business Analyst,27,"Cape Town, South Africa",62473,-33.928992,18.417396
data-scientist-brooklyn-ny-salary-money-diary,Associate Data Scientist,24,"Brooklyn, NY",105000,40.6501038,-73.9495823
production-finance-coordinator-los-angeles-ca-salary-money-diary,Production Finance Coordinator,30,"Los Angeles, CA",72000,34.0536909,-118.242766
associate-professor-kalamazoo-mi-salary-money-diary,Associate Professor,38,"Kalamazoo, MI",84738,42.291707,-85.5872286
medical-leave-chicago-il-salary-money-diary,Flight Attendant,28,"Chicago, IL",8500,41.8755616,-87.6244212
communications-specialist-washington-dc-salary-money-diary,Communications Specialist,27,Washington D.C.,2091,38.8949924,-77.0365581
school-counselor-columbus-oh-salary-money-diary,School Counselor,26,"Columbus, OH",50000,39.9622601,-83.0007065
graduate-student-athens-ga-salary-money-diary,Ph.D. Graduate Assistant,24,"Athens, GA",24000,32.2105899,-95.8801625
editorial-assistant-new-york-ny-salary-money-diary,Editorial Assistant,23,"New York, NY",40000,40.7127281,-74.0060152
sales-strategist-philadelphia-pa-salary-money-diary,Client Strategist (Sales),25,"Philadelphia, PA",60000,39.9527237,-75.1635262
actor-teacher-new-brunswick-nj-salary-money-diary,Professional Actor/Teaching Artist/Social Media Manager/Tutor,23,"New Brunswick, NJ",38264,40.4862174,-74.4518173
account-manager-northeast-kansas-salary-money-diary,Account Manager,25,"Kansas City, KS",40000,39.1134562,-94.626497
data-scientist-austin-tx-salary-money-diary,Data Scientist,23,"Austin, TX",93000,30.2711286,-97.7436995
junior-recruiter-new-york-city-salary-money-diary,Junior Recruiter,24,NYC,60000,40.7127281,-74.0060152
assistant-managing-editor-pittsburgh-pa-salary-money-diary,Assistant Managing Editor,28,"Pittsburgh, PA",42000,40.4416941,-79.9900861
student-university-michigan-tuition-college-money-diary,Student/Nanny/Researcher,21,Michigan,5000,43.6211955,-84.6824346
social-media-coordinator-thousand-oaks-ca-salary-money-diary,Social Media Coordinator,25,"Thousand Oaks, CA",42000,34.17142715,-118.91058772974445
marketing-northern-indiana-salary-money-diary,Marketing/Communications,39,Northern Indiana,53747,41.59432225,-86.708108236231
underwriter-new-york-ny-salary-money-diary,Underwriter,26,"New York, NY",150000,40.7127281,-74.0060152
environmental-scientist-sydney-australia-money-diary,Environmental Scientist,28,"Sydney, Australia",60700,-33.8548157,151.2164539
paralegal-san-francisco-ca-salary-money-diary,Paralegal,30,"San Francisco, CA",72000,37.7790262,-122.4199061
study-coordinator-salt-lake-city-ut-salary-money-diary,Study Coordinator,28,"Salt Lake City, UT",40800,40.7596198,-111.8867975
graphic-designer-western-massachusetts-salary-money-diary,Graphic Designer,22,Western Massachusetts,21000,42.1125825,-72.51478135359363
press-secretary-washington-dc-salary-money-diary,Press Secretary,26,"Washington, D.C.",50000,36.29885175,-82.35919331410948
commercial-product-lead-nyc-money-diary,Commercial Product Lead,33,"Brooklyn, NY",154000,40.6501038,-73.9495823
systems-engineer-seattle-wa-salary-money-diary,Systems Engineer,23,"Seattle, WA",78000,47.6038321,-122.3300624
management-consulting-washington-dc-salary-money-diary,Manager,27,Washington DC,100000,38.8949924,-77.0365581
executive-compensation-cleveland-oh-salary-money-diary,Executive Compensation Manager,33,"Cleveland, OH",115000,41.5051613,-81.6934446
americorps-eastern-utah-salary-money-diary,Americorps,27,Eastern Utah,11496,39.609320749999995,-110.80300827462918
adminstrative-coordinator-hudson-county-nj-salary-money-diary,Administrative Coordinator,28,"Hudson County, NJ",48000,40.7381635,-74.0550731
copywriter-new-york-ny-salary-money-diary,Copywriter,23,"New York, NY",60000,40.7127281,-74.0060152
social-media-director-los-angeles-ca-salary-money-diary,"Director, Social Media",30,"Los Angeles, CA",0,34.0536909,-118.242766
business-analyst-buffalo-ny-salary-money-diary,Business Operations Analyst,24,"Buffalo, NY",57500,42.8867166,-78.8783922
public-relations-consultant-new-york-city-salary-money-diary,Consultant,24,"New York, NY/New Jersey",44000,42.075346,-73.601633
communications-manager-minneapolis-mn-salary-money-diary,Digital Communications Manager,27,"Minneapolis, MN",48508,44.9772995,-93.2654692
human-resources-northern-indiana-salary-money-diary,Human Resources Specialist,32,Northern Indiana,90000,41.59432225,-86.708108236231
consultant-new-york-city-salary-money-diary,Engagement Manager,25,"New York, NY",82500,40.7127281,-74.0060152
teacher-boston-ma-salary-money-diary,Teacher,25,"Greater Boston Area, MA",52448,51.496561,-0.3252481416413374
data-analyst-washington-dc-salary-money-diary,Health Care Data Analyst,24,Washington D.C.,55000,38.8949924,-77.0365581
speech-language-pathologist-hudson-county-nj-salary-money-diary,Speech Language Pathologist,30,"Hudson County, NJ",77000,40.7381635,-74.0550731
consultant-denver-co-salary-money-diary,Project Manager,35,"Denver, CO",135000,5.3428475,-72.3959849
communications-manager-queens-ny-salary-money-diary,Communications Manager,29,"Queens, NY",90000,40.7498243,-73.7976337
account-manager-san-francisco-ca-salary-money-diary,Account Manager,23,"San Francisco, CA",65000,37.7790262,-122.4199061
disability-texas-salary-money-diary,Disabled,34,Texas,7548,31.8160381,-99.5120986
marietta-ga-hr-assistant-salary-money-diary,HR Assistant,26,"Marietta, GA",42000,33.9528472,-84.5496148
user-experience-researcher-fort-collins-co-salary-money-diary,User Experience Researcher,22,"Fort Collins, CO",80000,40.5508527,-105.0668085
communications-director-seattle-salary-money-diary,Communications Director & Consultant,30,"Seattle, WA",80000,47.6038321,-122.3300624
account-manager-new-york-salary-money-diary,Account Manager,24,"New York, NY",82000,40.7127281,-74.0060152
project-manager-boston-ma-salary-money-diary,Project Manager,28,"Boston, MA",74000,42.3602534,-71.0582912
project-coordinator-seattle-wa-salary-money-diary,Project Coordinator,28,"Seattle, WA",60000,47.6038321,-122.3300624
chat-bot-operator-colorado-salary-money-diary,"Opera Singer, Web + Design Freelancer, AI Chat Bot Operator",32,Colorado,25000,38.7251776,-105.607716
us-army-officer-south-korea-salary-money-diary,U.S. Army Officer,22,South Korea,32000,36.638392,127.6961188
social-worker-kansas-city-salary-money-diary,Social Worker,28,"Kansas City, MO",48000,39.100105,-94.5781416
assistant-professor-connecticut-salary-money-diary,Assistant Professor,31,Connecticut,60000,41.6500201,-72.7342163
unemployed-nyc-salary-money-diary,Unemployed,30,"New York, NY",85000,40.7127281,-74.0060152
development-manager-dallas-tx-salary-money-diary,Lead Development Manager,28,"Dallas, TX",73850,32.7762719,-96.7968559
nonprofit-seattle-wa-salary-money-diary,Program Officer,24,"Seattle, WA",43000,47.6038321,-122.3300624
development-associate-lake-taho-salary-money-diary,Development & Communications Associate,35,"Lake Tahoe, CA",53560,39.08854049999999,-120.05035277301698
content-marketing-writer-tel-aviv-israel-salary-money-diary,Content Marketing Writer,24,"Tel Aviv, Israel",50000,32.0852997,34.7818064
marketing-manager-yokohama-japan-salary-money-diary,Marketing and Communications Manager,23,"Yokohama, Japan",31915,35.444991,139.636768
administrative-coordinator-milwakee-wi-salary-money-diary,Administrative Coordinator,29,"Milwaukee, WI",52000,43.0349931,-87.922497
federal-employee-washington-dc-salary-money-diary,Federal Employee,31,Washington D.C.,105400,38.8949924,-77.0365581
research-coordinator-north-florida-salary-money-diary,Research Coordinator,23,North Florida,24960,26.2886951,-98.3175282
software-engineer-fairfax-county-va-salary-money-diary,Software Engineer,22,"Fairfax County, VA",108000,38.8156356,-77.2836849
associate-publicist-new-york-salary-money-diary,Associate Publicist,27,"New York, NY",0,40.7127281,-74.0060152
it-analyst-saint-paul-mn-salary-money-diary,IT Analyst,25,"Saint Paul, MN",89000,44.9504037,-93.1015026
marketing-specialist-orange-county-ca-salary-money-diary,Marketing Specialist,26,"Orange County, CA",2000,33.7500378,-117.8704931
recruiter-portland-or-salary-money-diary,Recruiter,22,"Portland, OR",40000,45.5202471,-122.6741949
digital-project-manager-raleigh-nc-salary-money-diary,Project Manager,25,"Raleigh, NC",55000,35.7803977,-78.6390989
paid-social-manager-new-york-ny-salary-money-diary,Senior Paid Social Manager,25,"New York, NY",111524,40.7127281,-74.0060152
epidemiologist-copenhagen-denmark-salary-money-diary,Epidemiologist,31,"Copenhagen, Denmark",92600,55.6867243,12.5700724
marketing-specialist-vero-beach-fl-salary-money-diary,Content Marketing Specialist,28,"Vero Beach, FL",40000,27.6387163,-80.3975399
lawyer-houston-tx-salary-money-diary,Attorney,32,"Houston, TX",144870,29.7589382,-95.3676974
customer-growth-director-jersey-shore-salary-money-diary,"Director, Customer Growth & Experience",32,Jersey Shore,335000,41.2020171,-77.2644152
consultant-chicago-salary-money-diary,Consultant,28,"Chicago, IL",0,41.8755616,-87.6244212
engineer-toledo-oh-salary-money-diary,Engineer,27,"Toledo, OH",80000,41.6529143,-83.5378173
unemployed-los-angeles-ca-money-diary,UX Designer (unemployed),26,"Los Angeles, CA",0,34.0536909,-118.242766
claims-investigator-pittsburgh-pa-salary-money-diary,Claims Investigator,27,"Pittsburgh, PA",48000,40.4416941,-79.9900861
medical-assistant-montgomery-county-md-salary-money-diary,Medical Assistant,23,"Montgomery County, MD",0,39.1406267,-77.2075612
marketing-coordinator-rural-wisconsin-salary-money-diary,Marketing Coordinator,24,Rural Wisconsin,43500,44.3130336,-89.1531703
global-change-austin-tx-salary-money-diary,Global Change Lead,31,"Austin, TX",98500,30.2711286,-97.7436995
fashion-blogger-brooklyn-ny-salary-money-diary,Fashion Blogger,30,"Brooklyn, NY",50000,40.6501038,-73.9495823
aml-advisor-long-island-ny-salary-money-diary,AML Advisor,28,"Long Island, NY",262000,40.85149705,-73.0994258107431
client-manager-atlanta-ga-salary-money-diary,Client Manager,30,"Atlanta, GA",72000,33.7489924,-84.3902644
software-consultant-chicago-il-salary-money-diary,Software Consultant,34,"Chicago, IL",133000,41.8755616,-87.6244212
policy-advisor-london-england-salary-money-diary,Policy Advisor,23,"London, England",34900,51.5073219,-0.1276474
aerial-artist-san-francisco-ca-salary-money-diary,"Freelance Artist, Coach & Performer (I supplement my income with retail)",30,"San Francisco, CA",30000,37.7790262,-122.4199061
marketing-head-sydney-australia-salary-money-diary,Head of Marketing,38,"Sydney, Australia",148750,-33.8548157,151.2164539
digital-strategist-seattle-wa-salary-money-diary,Digital Strategist,26,"Seattle, WA",77000,47.6038321,-122.3300624
registered-dietician-new-york-ny-salary-money-diary,Registered Dietitian,30,"New York, NY",67000,40.7127281,-74.0060152
phd-candidate-pittsburgh-pa-stipend-money-diary,Computer Science PhD Student,22,"Pittsburgh, PA",36000,40.4416941,-79.9900861
manager-mental-health-nashville-salary-money-diary,Manager,30,"Nashville, TN",55000,36.1622296,-86.7743531
nonprofit-development-eastern-south-dakota-salary-money-diary,Development Specialist,29,Eastern South Dakota,52000,50.5492379,137.0060806
